#Digilent WaveForms Network Analyzer - Bode,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A35F97,,,
#Date Time: 2019-11-08 16:08:07.713,,,
#Start: 1000 Hz,,,
#Stop: 1e+06 Hz,,,
#Steps: 201,,,
#Wavegen: Wavegen1,,,
#Amplification: 1 X,,,
#Settle: 10 ms,,,
#MinPeriods: 16 ,,,
#Channel: Channel 2,,,
#Range: 5.43395 V,,,
#Offset: -2.27108e-05 V,,,
#Relative: yes,,,
,,,
Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*),fase 
1000,-44.35101873,-89.70443271,-89.70443271
1035.142167,-44.05090182,-89.57306062,-89.57306062
1071.519305,-43.70339476,-89.87410089,-89.87410089
1109.174815,-43.38704536,-89.84759508,-89.84759508
1148.153621,-43.17962137,-89.85277797,-89.85277797
1188.502227,-42.83203136,-89.87768851,-89.87768851
1230.268771,-42.57448243,-89.70870083,-89.70870083
1273.503081,-42.27091183,-90.06828547,-90.06828547
1318.256739,-41.9108681,-89.79275029,-89.79275029
1364.583137,-41.66669427,-90.04897342,-90.04897342
1412.537545,-41.37340169,-89.85513234,-89.85513234
1462.177174,-41.08059063,-89.65860502,-89.65860502
1513.561248,-40.77245105,-90.03310074,-90.03310074
1566.75107,-40.46481859,-89.86307782,-89.86307782
1621.810097,-40.15113089,-90.05138186,-90.05138186
1678.804018,-39.83706074,-89.96123584,-89.96123584
1737.800829,-39.53703124,-89.62946843,-89.62946843
1798.870915,-39.24264997,-89.99858343,-89.99858343
1862.087137,-38.96904738,-89.91782306,-89.91782306
1927.524913,-38.64708713,-89.92307458,-89.92307458
1995.262315,-38.34644442,-89.99084287,-89.99084287
2065.380156,-38.04918655,-89.86875847,-89.86875847
2137.96209,-37.7656518,-89.87451766,-89.87451766
2213.09471,-37.45081095,-90.03493797,-90.03493797
2290.867653,-37.17005526,-89.97239269,-89.97239269
2371.373706,-36.83986879,-90.09885981,-90.09885981
2454.708916,-36.55080676,-89.97355634,-89.97355634
2540.972706,-36.24108732,-90.06296848,-90.06296848
2630.267992,-35.93216322,-90.15832674,-90.15832674
2722.701308,-35.63514635,-90.13709823,-90.13709823
2818.382931,-35.30082073,-90.11639029,-90.11639029
2917.427014,-35.00015325,-90.13765101,-90.13765101
3019.95172,-34.69182066,-90.18723448,-90.18723448
3126.079367,-34.40598799,-90.23711658,-90.23711658
3235.936569,-34.09517908,-90.17611835,-90.17611835
3349.654392,-33.78050247,-90.32334719,-90.32334719
3467.368505,-33.47108045,-90.2744151,-90.2744151
3589.219346,-33.14711483,-90.24301279,-90.24301279
3715.352291,-32.83989581,-90.30885946,-90.30885946
3845.91782,-32.52472499,-90.42501404,-90.42501404
3981.071706,-32.21444718,-90.38449125,-90.38449125
4120.975191,-31.89848628,-90.46594436,-90.46594436
4265.795188,-31.59513859,-90.45556647,-90.45556647
4415.704474,-31.28307415,-90.58412965,-90.58412965
4570.881896,-30.95893345,-90.56461553,-90.56461553
4731.51259,-30.64926739,-90.58801331,-90.58801331
4897.788194,-30.32947068,-90.69814458,-90.69814458
5069.907083,-30.00838829,-90.82853571,-90.82853571
5248.074602,-29.68534265,-90.77643443,-90.77643443
5432.503315,-29.38187355,-90.92163806,-90.92163806
5623.413252,-29.05971641,-90.98929415,-90.98929415
5821.032178,-28.73555641,-91.00780569,-91.00780569
6025.595861,-28.40964655,-91.05729613,-91.05729613
6237.348355,-28.09602357,-91.16895373,-91.16895373
6456.54229,-27.76454288,-91.14953254,-91.14953254
6683.439176,-27.44172407,-91.22848556,-91.22848556
6918.309709,-27.10983942,-91.30999693,-91.30999693
7161.434102,-26.78354444,-91.42364583,-91.42364583
7413.102413,-26.45611065,-91.52969646,-91.52969646
7673.614894,-26.12454665,-91.58126536,-91.58126536
7943.282347,-25.77967256,-91.72982588,-91.72982588
8222.426499,-25.44186256,-91.82286056,-91.82286056
8511.380382,-25.09937742,-91.89957472,-91.89957472
8810.48873,-24.75031507,-92.03241169,-92.03241169
9120.108394,-24.40111892,-92.15115044,-92.15115044
9440.608763,-24.04627858,-92.23870858,-92.23870858
9772.37221,-23.69479685,-92.38627542,-92.38627542
10115.79454,-23.32204508,-92.48894912,-92.48894912
10471.28548,-22.96009458,-92.59816275,-92.59816275
10839.26914,-22.58779808,-92.78036064,-92.78036064
11220.18454,-22.21262383,-92.91982613,-92.91982613
11614.48614,-21.82202474,-93.08360304,-93.08360304
12022.64435,-21.43781464,-93.22253369,-93.22253369
12445.14612,-21.04386516,-93.38798459,-93.38798459
12882.49552,-20.6419214,-93.61810379,-93.61810379
13335.21432,-20.22628548,-93.79716691,-93.79716691
13803.84265,-19.80778137,-94.00959275,-94.00959275
14288.93959,-19.36724351,-94.21419541,-94.21419541
14791.08388,-18.92658855,-94.48835578,-94.48835578
15310.87462,-18.46745047,-94.74694723,-94.74694723
15848.93192,-17.99762441,-95.02905389,-95.02905389
16405.89773,-17.5124017,-95.32275132,-95.32275132
16982.43652,-17.00445655,-95.69060888,-95.69060888
17579.23614,-16.4798388,-96.03349585,-96.03349585
18197.00859,-15.92898733,-96.46011588,-96.46011588
18836.49089,-15.35570915,-96.92833437,-96.92833437
19498.446,-14.75406131,-97.45819391,-97.45819391
20183.66364,-14.12089461,-98.03057611,-98.03057611
20892.96131,-13.44261062,-98.67982431,-98.67982431
21627.18524,-12.72157317,-99.46464413,-99.46464413
22387.21139,-11.94969532,-100.3822934,-100.3822934
23173.9465,-11.11694531,-101.4617237,-101.4617237
23988.32919,-10.20754481,-102.7702175,-102.7702175
24831.33105,-9.209161605,-104.3788709,-104.3788709
25703.95783,-8.096703475,-106.4395787,-106.4395787
26607.2506,-6.848741377,-109.1147563,-109.1147563
27542.28703,-5.425400767,-112.7475866,-112.7475866
28510.18268,-3.78260747,-117.964859,-117.964859
29512.09227,-1.887824067,-125.9215105,-125.9215105
30549.21113,0.203940314,-138.7089024,-138.7089024
31622.7766,2.035324654,-159.1232372,-159.1232372
32734.06949,2.5737356,174.6543533,-185.3456467
33884.41561,1.509908355,151.2278038,-208.7721962
35075.1874,-0.308397671,134.8322955,-225.1677045
36307.80548,-2.213010155,124.1727871,-235.8272129
37583.74043,-3.957748383,117.1398631,-242.8601369
38904.5145,-5.510897589,112.3058668,-247.6941332
40271.70343,-6.879439779,108.7813114,-251.2186886
41686.93835,-8.088361388,106.1321804,-253.8678196
43151.90768,-9.17770998,104.1305073,-255.8694927
44668.35922,-10.17850047,102.4952075,-257.5047925
46238.10214,-11.05683124,101.1846358,-258.8153642
47863.00923,-11.88261503,100.1376694,-259.8623306
49545.01908,-12.66031474,99.23494056,-260.7650594
51286.1384,-13.38300742,98.43489021,-261.5651098
53088.44442,-14.03536391,97.70905385,-262.2909461
54954.08739,-14.68813786,97.1134858,-262.8865142
56885.29308,-15.2797425,96.58245701,-263.417543
58884.36554,-15.87026356,96.11647891,-263.8835211
60953.68972,-16.41167598,95.63032176,-264.3696782
63095.73445,-16.93128531,95.2805108,-264.7194892
65313.05526,-17.44950688,94.92417055,-265.0758294
67608.29754,-17.91402821,94.56955168,-265.4304483
69984.1996,-18.39128229,94.32065382,-265.6793462
72443.59601,-18.84640124,94.01000614,-265.9899939
74989.42093,-19.29298077,93.69326076,-266.3067392
77624.71166,-19.71945048,93.56452038,-266.4354796
80352.61222,-20.12340627,93.28685511,-266.7131449
83176.37711,-20.54468313,93.01747813,-266.9825219
86099.37522,-20.94946818,92.97729318,-267.0227068
89125.09381,-21.33938131,92.65815414,-267.3418459
92257.14272,-21.72959105,92.40930611,-267.5906939
95499.2586,-22.1081579,92.25760551,-267.7423945
98855.30947,-22.48660897,92.08519275,-267.9148073
102329.2992,-22.84008771,91.94661632,-268.0533837
105925.3725,-23.20554618,91.65591308,-268.3440869
109647.8196,-23.58550331,91.61586001,-268.38414
113501.0816,-23.93584624,91.28529442,-268.7147056
117489.7555,-24.25761199,91.15854678,-268.8414532
121618.6001,-24.63113081,90.93547613,-269.0645239
125892.5412,-24.99049237,90.83716244,-269.1628376
130316.6778,-25.33037934,90.95801192,-269.0419881
134896.2883,-25.62766989,90.60538668,-269.3946133
139636.8361,-25.95422093,90.48294086,-269.5170591
144543.9771,-26.29097694,90.48766036,-269.5123396
149623.5656,-26.60580975,90.45058122,-269.5494188
154881.6619,-26.93971064,90.35201924,-269.6479808
160324.5391,-27.27105588,90.10126467,-269.8987353
165958.6907,-27.57656751,90.10854177,-269.8914582
171790.8387,-27.89378985,89.6879842,-270.3120158
177827.941,-28.20504336,89.78982972,-270.2101703
184077.2001,-28.51293799,89.53221924,-270.4677808
190546.0718,-28.82980783,89.36534932,-270.6346507
197242.2736,-29.07522857,89.2747762,-270.7252238
204173.7945,-29.40738498,88.88992537,-271.1100746
211348.904,-29.72924637,89.03676959,-270.9632304
218776.1624,-30.03037672,88.95048167,-271.0495183
226464.4308,-30.29064241,88.97689408,-271.0231059
234422.8815,-30.60407068,88.53799547,-271.4620045
242661.0095,-30.93712325,88.54364888,-271.4563511
251188.6432,-31.23763203,88.52413462,-271.4758654
260015.9563,-31.54697347,88.19314932,-271.8068507
269153.4804,-31.82764425,88.41781908,-271.5821809
278612.1169,-32.12129884,87.80498573,-272.1950143
288403.1503,-32.3509516,87.51851547,-272.4814845
298538.2619,-32.6691861,87.47549335,-272.5245067
309029.5433,-32.9956051,87.74822382,-272.2517762
319889.511,-33.26621949,87.21475415,-272.7852458
331131.1215,-33.50761752,87.2919421,-272.7080579
342767.7865,-33.85173296,87.36274005,-272.63726
354813.3892,-34.11610241,87.29078861,-272.7092114
367282.3005,-34.40226478,87.10441328,-272.8955867
380189.3963,-34.74235952,87.06558838,-272.9344116
393550.0755,-34.95284242,86.23663033,-273.7633697
407380.2778,-35.20812023,86.7846605,-273.2153395
421696.5034,-35.47145567,86.73349858,-273.2665014
436515.8322,-35.71650136,86.37462894,-273.6253711
451855.9444,-36.03880852,86.45571705,-273.544283
467735.1413,-36.22997968,86.53264959,-273.4673504
484172.3676,-36.4662864,86.40098873,-273.5990113
501187.2336,-36.78993304,85.64938306,-274.3506169
518800.0389,-37.03808609,85.29818089,-274.7018191
537031.7964,-37.52600567,85.51488686,-274.4851131
555904.2573,-37.51466002,85.64259336,-274.3574066
575439.9373,-37.90980886,85.60648619,-274.3935138
595662.1435,-37.96738414,84.27030941,-275.7296906
616595.0019,-38.04076163,83.68769271,-276.3123073
638263.4862,-38.54554552,85.15198375,-274.8480163
660693.448,-38.56103947,84.94163325,-275.0583667
683911.6473,-38.86820012,84.53863217,-275.4613678
707945.7844,-39.20544128,84.61578915,-275.3842109
732824.5331,-39.30439382,84.30332264,-275.6966774
758577.575,-39.53319662,84.96384783,-275.0361522
785235.6346,-39.7433899,84.70797046,-275.2920295
812830.5162,-39.95403504,84.39733917,-275.6026608
841395.1416,-40.11863993,85.00708791,-274.9929121
870963.59,-40.18180715,85.52545817,-274.4745418
901571.1376,-40.37473752,85.16399425,-274.8360058
933254.3008,-40.64416522,85.67981606,-274.3201839
966050.879,-40.77650467,84.64243867,-275.3575613
1000000,-40.89871302,85.72471467,-274.2752853
